app_date,category,result_date,status,Country
2022-06-06,SDS,2022-08-20,rejected,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-20,approved,India
2022-05-20,SDS,2022-08-20,approved,India
2022-06-27,SDS,2022-08-20,approved,India
2022-05-28,SDS,2022-08-20,approved,India
2022-07-18,non-SDS,2022-08-20,approved,India
2022-06-10,SDS,2022-08-20,approved,India
2022-05-19,SDS,2022-08-20,approved,India
2022-05-20,SDS,2022-08-20,approved,India
2022-05-21,SDS,2022-08-20,approved,India
2022-05-21,SDS,2022-08-20,approved,India
2022-05-21,SDS,2022-08-20,approved,India
2022-05-23,SDS,2022-08-20,approved,India
2022-05-23,SDS,2022-08-20,approved,India
2022-05-28,SDS,2022-08-20,approved,India
2022-05-29,SDS,2022-08-20,approved,India
2022-06-13,SDS,2022-08-20,approved,India
2022-05-29,SDS,2022-08-20,approved,India
2022-06-02,SDS,2022-08-20,approved,India
2022-05-21,SDS,2022-08-19,approved,India
2022-06-11,SDS,2022-08-19,approved,India
2022-06-02,SDS,2022-08-19,approved,India
2022-05-28,SDS,2022-08-19,approved,India
2022-05-29,SDS,2022-08-19,approved,India
2022-06-22,SDS,2022-08-19,approved,India
2022-06-15,SDS,2022-08-19,approved,India
2022-06-11,SDS,2022-08-19,approved,India
2022-05-28,SDS,2022-08-19,approved,India
2022-05-21,SDS,2022-08-19,approved,India
2022-05-23,SDS,2022-08-18,approved,India
2022-06-24,SDS,2022-08-19,approved,India
2022-06-04,SDS,2022-08-19,approved,India
2022-06-17,SDS,2022-08-19,approved,India
2022-05-21,SDS,2022-08-19,approved,India
2022-06-03,SDS,2022-08-18,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-05-21,SDS,2022-08-19,approved,India
2022-05-21,SDS,2022-08-19,approved,India
2022-05-23,SDS,2022-08-19,approved,India
2022-05-23,SDS,2022-08-19,approved,India
2022-05-23,SDS,2022-08-19,approved,India
2022-06-09,SDS,2022-08-19,approved,India
2022-06-09,SDS,2022-08-19,approved,India
2022-06-10,SDS,2022-08-19,approved,India
2022-05-20,SDS,2022-08-19,approved,India
2022-06-02,SDS,2022-08-19,approved,India
2022-06-02,SDS,2022-08-19,approved,India
2022-03-24,SDS,2022-08-19,approved,India
2022-06-13,SDS,2022-08-18,approved,India
2022-06-13,SDS,2022-08-18,approved,India
2022-06-13,SDS,2022-08-18,approved,India
2022-06-13,SDS,2022-08-18,approved,India
2022-05-19,SDS,2022-08-18,approved,India
2022-06-07,SDS,2022-08-18,approved,India
2022-06-08,SDS,2022-08-18,approved,India
2022-06-08,SDS,2022-08-18,approved,India
2022-01-20,SDS,2022-08-17,approved,India
2022-04-20,SDS,2022-08-17,approved,India
2022-04-28,SDS,2022-08-17,approved,India
2022-05-18,SDS,2022-08-17,approved,India
2022-05-27,SDS,2022-08-17,approved,India
2022-05-27,SDS,2022-08-17,approved,India
2022-05-28,SDS,2022-08-17,approved,India
2022-06-03,SDS,2022-08-17,approved,India
2022-06-13,SDS,2022-08-17,approved,India
2022-06-13,SDS,2022-08-17,approved,India
2022-06-13,SDS,2022-08-17,approved,India
2022-06-13,SDS,2022-08-17,approved,India
2022-06-13,SDS,2022-08-17,approved,India
2022-05-11,SDS,2022-08-16,approved,India
2022-05-18,SDS,2022-08-16,approved,India
2022-05-18,SDS,2022-08-16,approved,India
2022-05-20,SDS,2022-08-16,approved,India
2022-05-20,SDS,2022-08-16,approved,India
2022-05-27,SDS,2022-08-16,approved,India
2022-05-31,SDS,2022-08-16,approved,India
2022-05-31,SDS,2022-08-16,approved,India
2022-06-13,SDS,2022-08-16,approved,India
2022-06-13,SDS,2022-08-16,approved,India
2022-06-13,SDS,2022-08-16,approved,India
2022-06-13,SDS,2022-08-16,approved,India
2022-03-01,SDS,2022-08-16,approved,India
2022-04-18,SDS,2022-08-16,approved,India
2022-05-17,SDS,2022-08-16,approved,India
2022-05-20,SDS,2022-08-16,approved,India
2022-05-05,SDS,2022-08-13,approved,India
2022-05-11,SDS,2022-08-13,approved,India
2022-05-17,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-26,SDS,2022-08-13,approved,India
2022-05-27,SDS,2022-08-13,approved,India
2022-05-27,SDS,2022-08-13,approved,India
2022-05-27,SDS,2022-08-13,approved,India
2022-05-27,SDS,2022-08-13,approved,India
2022-05-28,SDS,2022-08-13,approved,India
2022-05-17,SDS,2022-08-13,approved,India
2022-05-18,SDS,2022-08-13,approved,India
2022-05-27,SDS,2022-08-13,approved,India
2022-04-22,SDS,2022-08-13,approved,India
2022-03-16,SDS,2022-08-12,approved,India
2022-03-21,SDS,2022-08-12,approved,India
2022-03-21,SDS,2022-08-12,approved,India
2022-03-21,SDS,2022-08-12,approved,India
2022-03-21,SDS,2022-08-12,approved,India
2022-04-18,SDS,2022-08-12,approved,India
2022-04-28,SDS,2022-08-12,approved,India
2022-04-28,SDS,2022-08-12,approved,India
2022-05-11,SDS,2022-08-12,approved,India
2022-05-11,SDS,2022-08-12,approved,India
2022-05-13,SDS,2022-08-12,approved,India
2022-05-15,SDS,2022-08-12,approved,India
2022-05-16,SDS,2022-08-12,approved,India
2022-05-16,SDS,2022-08-12,approved,India
2022-05-16,SDS,2022-08-12,approved,India
2022-05-17,SDS,2022-08-12,approved,India
2022-05-18,SDS,2022-08-12,approved,India
2022-05-18,SDS,2022-08-12,approved,India
2022-05-18,SDS,2022-08-12,approved,India
2022-05-18,SDS,2022-08-12,approved,India
2022-05-18,SDS,2022-08-12,approved,India
2022-05-26,SDS,2022-08-12,approved,India
2022-05-26,SDS,2022-08-12,approved,India
2022-03-31,SDS,2022-08-12,approved,India
2022-04-09,SDS,2022-08-12,approved,India
2022-04-05,SDS,2022-08-12,approved,India
2022-03-01,SDS,2022-08-11,approved,India
2022-04-04,SDS,2022-08-11,approved,India
2022-03-21,SDS,2022-08-11,approved,India
2022-04-01,SDS,2022-08-11,approved,India
2022-04-01,SDS,2022-08-11,approved,India
2022-04-13,SDS,2022-08-11,approved,India
2022-04-13,SDS,2022-08-11,approved,India
2022-04-14,SDS,2022-08-11,approved,India
2022-04-20,SDS,2022-08-11,approved,India
2022-05-11,SDS,2022-08-11,approved,India
2022-05-14,SDS,2022-08-11,approved,India
2022-05-15,SDS,2022-08-11,approved,India
2022-05-15,SDS,2022-08-11,approved,India
2022-05-15,SDS,2022-08-11,approved,India
2022-05-25,SDS,2022-08-11,approved,India
2022-05-25,SDS,2022-08-11,approved,India
2022-05-25,SDS,2022-08-11,approved,India
2022-05-25,SDS,2022-08-11,approved,India
2022-05-26,SDS,2022-08-11,approved,India
2022-05-26,SDS,2022-08-11,approved,India
2022-05-26,SDS,2022-08-11,approved,India
2022-04-08,SDS,2022-08-11,approved,India
2021-12-18,SDS,2022-08-10,approved,India
2021-12-27,SDS,2022-08-10,approved,India
2022-03-14,SDS,2022-08-10,approved,India
2022-03-14,SDS,2022-08-10,approved,India
2022-03-17,SDS,2022-08-10,approved,India
2022-03-23,SDS,2022-08-10,approved,India
2022-03-30,SDS,2022-08-10,approved,India
2022-05-09,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-14,SDS,2022-08-10,approved,India
2022-05-14,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-18,SDS,2022-08-10,approved,India
2022-05-19,SDS,2022-08-10,approved,India
2022-05-25,SDS,2022-08-10,approved,India
2022-05-26,SDS,2022-08-10,approved,India
2022-05-26,SDS,2022-08-10,approved,India
2022-05-26,SDS,2022-08-10,approved,India
2022-05-17,SDS,2022-08-10,approved,India
2022-05-26,SDS,2022-08-10,approved,India
2022-03-21,SDS,2022-08-09,approved,India
2022-05-06,SDS,2022-08-09,approved,India
2022-05-09,SDS,2022-08-09,approved,India
2022-05-16,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-21,SDS,2022-08-09,approved,India
2022-05-24,SDS,2022-08-09,approved,India
2022-05-25,SDS,2022-08-09,approved,India
2022-03-07,SDS,2022-08-09,approved,India
2022-04-07,SDS,2022-08-09,approved,India
2022-04-07,SDS,2022-08-09,approved,India
2022-05-07,SDS,2022-08-09,approved,India
2022-05-11,SDS,2022-08-09,approved,India
2022-05-11,SDS,2022-08-09,approved,India
2022-05-11,SDS,2022-08-09,approved,India
2022-05-16,SDS,2022-08-09,approved,India
2022-05-16,SDS,2022-08-09,approved,India
2022-05-16,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-17,SDS,2022-08-09,approved,India
2022-05-24,SDS,2022-08-09,approved,India
2022-05-25,SDS,2022-08-09,approved,India
2022-05-25,SDS,2022-08-09,approved,India
2021-11-16,SDS,2022-08-23,approved,India
2022-03-30,SDS,2022-08-23,approved,India
2022-03-26,SDS,2022-08-23,approved,India
2022-03-31,SDS,2022-08-23,approved,India
2022-04-21,SDS,2022-08-23,approved,India
2022-05-20,SDS,2022-08-23,approved,India
2022-05-20,SDS,2022-08-23,approved,India
2022-05-20,SDS,2022-08-23,approved,India
2022-05-24,SDS,2022-08-23,approved,India
2022-05-24,SDS,2022-08-23,approved,India
2022-05-25,SDS,2022-08-23,approved,India
2022-05-30,SDS,2022-08-23,approved,India
2022-05-29,SDS,2022-08-23,approved,India
2022-05-30,SDS,2022-08-23,approved,India
2022-05-29,SDS,2022-08-23,approved,India
2022-05-29,SDS,2022-08-23,approved,India
2022-05-30,SDS,2022-08-23,approved,India
2022-05-30,SDS,2022-08-23,approved,India
2022-05-30,SDS,2022-08-23,approved,India
2022-06-02,SDS,2022-08-23,approved,India
2022-05-23,SDS,2022-08-23,approved,India
2022-05-29,SDS,2022-08-23,approved,India
2022-06-13,SDS,2022-08-23,approved,India
2022-06-24,SDS,2022-08-23,approved,India
2021-12-31,SDS,2022-08-24,approved,India
2022-01-10,SDS,2022-08-24,approved,India
2022-01-28,SDS,2022-08-24,approved,India
2022-04-16,SDS,2022-08-24,approved,India
2022-04-27,SDS,2022-08-24,approved,India
2022-04-27,SDS,2022-08-24,approved,India
2022-04-28,SDS,2022-08-24,approved,India
2022-04-29,SDS,2022-08-24,approved,India
2022-05-06,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-23,SDS,2022-08-24,approved,India
2022-05-25,SDS,2022-08-24,approved,India
2022-05-20,SDS,2022-08-24,approved,India
2022-05-26,SDS,2022-08-24,approved,India
2022-05-26,SDS,2022-08-24,approved,India
2022-05-26,SDS,2022-08-24,approved,India
2022-05-27,SDS,2022-08-24,approved,India
2022-05-27,SDS,2022-08-24,approved,India
2022-05-28,SDS,2022-08-24,approved,India
2022-05-28,SDS,2022-08-24,approved,India
2022-05-28,SDS,2022-08-24,approved,India
2022-05-28,SDS,2022-08-24,approved,India
2022-05-29,SDS,2022-08-24,approved,India
2022-05-31,SDS,2022-08-24,approved,India
2022-05-23,SDS,2022-08-24,approved,India
2022-05-27,SDS,2022-08-24,approved,India
2022-03-24,SDS,2022-08-24,approved,India
2022-04-26,SDS,2022-08-25,approved,India
2022-05-05,SDS,2022-08-25,approved,India
2022-05-10,SDS,2022-08-25,approved,India
2022-05-11,SDS,2022-08-25,approved,India
2022-05-17,SDS,2022-08-25,approved,India
2022-05-17,SDS,2022-08-25,approved,India
2022-05-18,SDS,2022-08-25,approved,India
2022-05-25,SDS,2022-08-25,approved,India
2022-05-26,SDS,2022-08-25,approved,India
2022-05-27,SDS,2022-08-25,approved,India
2022-05-30,SDS,2022-08-25,approved,India
2022-05-30,SDS,2022-08-25,approved,India
2022-05-11,SDS,2022-08-25,approved,India
